Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Cattle,Head,Cysticercus bovis,2019-01,England,2,138552,141,0.001
Cattle,Head,Cysticercus bovis,2019-02,England,15,123348,140,0.012
Cattle,Head,Cysticercus bovis,2019-03,England,2,120492,141,0.002
Cattle,Head,Hydatid Cyst,2019-01,England,1,138552,141,0.001
Cattle,Head,Hydatid Cyst,2019-02,England,1,123348,140,0.001
Cattle,Head,Other,2019-01,England,879,138552,141,0.634
Cattle,Head,Other,2019-02,England,743,123348,140,0.602
Cattle,Head,Other,2019-03,England,663,120492,141,0.55
Cattle,Head,Other,2019-01,Wales,61,12163,14,0.502
Cattle,Head,Other,2019-02,Wales,25,11100,14,0.225
Cattle,Head,Other,2019-03,Wales,44,11280,14,0.39
Cattle,Offal,Contamination,2019-01,England,7366,138552,141,5.316
Cattle,Offal,Contamination,2019-02,England,6218,123348,140,5.041
Cattle,Offal,Contamination,2019-03,England,6064,120492,141,5.033
Cattle,Offal,Contamination,2019-01,Wales,154,12163,14,1.266
Cattle,Offal,Contamination,2019-02,Wales,159,11100,14,1.432
Cattle,Offal,Contamination,2019-03,Wales,101,11280,14,0.895
Cattle,Offal,Cysticercus bovis,2019-01,England,13,138552,141,0.009
Cattle,Offal,Cysticercus bovis,2019-02,England,16,123348,140,0.013
Cattle,Offal,Cysticercus bovis,2019-03,England,9,120492,141,0.007
Cattle,Offal,Cysticercus bovis,2019-01,Wales,4,12163,14,0.033
Cattle,Offal,Cysticercus bovis,2019-02,Wales,2,11100,14,0.018
Cattle,Offal,Cysticercus bovis,2019-03,Wales,3,11280,14,0.027
Cattle,Offal,Cysticercus ovis (Offal),2019-02,England,1,123348,140,0.001
Cattle,Offal,Cysticercus tenuicollis,2019-02,England,4,123348,140,0.003
Cattle,Offal,Fluke Immature,2019-01,England,5284,138552,141,3.814
Cattle,Offal,Fluke Immature,2019-02,England,4727,123348,140,3.832
Cattle,Offal,Fluke Immature,2019-03,England,4034,120492,141,3.348
Cattle,Offal,Fluke Immature,2019-01,Wales,119,12163,14,0.978
Cattle,Offal,Fluke Immature,2019-02,Wales,105,11100,14,0.946
Cattle,Offal,Fluke Immature,2019-03,Wales,91,11280,14,0.807
Cattle,Offal,Fluke Mature,2019-01,England,13198,138552,141,9.526
Cattle,Offal,Fluke Mature,2019-02,England,11353,123348,140,9.204
Cattle,Offal,Fluke Mature,2019-03,England,10310,120492,141,8.557
Cattle,Offal,Fluke Mature,2019-01,Wales,1286,12163,14,10.573
Cattle,Offal,Fluke Mature,2019-02,Wales,1202,11100,14,10.829
