Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Cattle,Total Rejections,Generalised TB (Suspect),2017-05,England,130,128858,146,0.101
Cattle,Total Rejections,Generalised TB (Suspect),2017-06,England,71,121827,147,0.058
Cattle,Total Rejections,Generalised TB (Suspect),2017-04,Wales,24,8892,16,0.27
Cattle,Total Rejections,Generalised TB (Suspect),2017-05,Wales,24,11133,15,0.216
Cattle,Total Rejections,Generalised TB (Suspect),2017-06,Wales,29,9794,15,0.296
Cattle,Total Rejections,Jaundice,2017-05,England,2,128858,146,0.002
Cattle,Total Rejections,Other,2017-04,England,37,114619,147,0.032
Cattle,Total Rejections,Other,2017-05,England,46,128858,146,0.036
Cattle,Total Rejections,Other,2017-06,England,36,121827,147,0.03
Cattle,Total Rejections,Other,2017-05,Wales,2,11133,15,0.018
Cattle,Total Rejections,Other,2017-06,Wales,3,9794,15,0.031
Cattle,Total Rejections,Processing Fault,2017-05,England,1,128858,146,0.001
Cattle,Total Rejections,Pyaemia/ Multiple abscesses,2017-04,England,67,114619,147,0.058
Cattle,Total Rejections,Pyaemia/ Multiple abscesses,2017-05,England,58,128858,146,0.045
Cattle,Total Rejections,Pyaemia/ Multiple abscesses,2017-06,England,72,121827,147,0.059
Cattle,Total Rejections,Pyaemia/ Multiple abscesses,2017-04,Wales,12,8892,16,0.135
Cattle,Total Rejections,Pyaemia/ Multiple abscesses,2017-05,Wales,1,11133,15,0.009
Cattle,Total Rejections,Pyaemia/ Multiple abscesses,2017-06,Wales,14,9794,15,0.143
Cattle,Total Rejections,Septicaemia / Fever,2017-04,England,119,114619,147,0.104
Cattle,Total Rejections,Septicaemia / Fever,2017-05,England,116,128858,146,0.09
Cattle,Total Rejections,Septicaemia / Fever,2017-06,England,127,121827,147,0.104
Cattle,Total Rejections,Septicaemia / Fever,2017-04,Wales,14,8892,16,0.157
Cattle,Total Rejections,Septicaemia / Fever,2017-05,Wales,12,11133,15,0.108
Cattle,Total Rejections,Septicaemia / Fever,2017-06,Wales,8,9794,15,0.082
